2011-02-12   TEL2B.ST   2.52
2011-02-12   YHOO.O   2.53
2011-02-12   LUMISDB.ST   2.55
2011-02-12   PAR.ST   2.62
2011-02-12   SCVB.ST   2.64
2011-02-12   SHBA.ST   2.64
2011-02-12   ERICB.ST   2.67
2011-02-12   ALFA.ST   2.68
2011-02-12   LUPE.ST   2.69
2011-02-12   OUT1V.HE   2.69
2011-02-12   SAND.ST   2.69
2011-02-12   KNEBV.HE   2.70
2011-02-12   SKAB.ST   2.72
2011-02-12   ASSAB.ST   2.82
2011-02-12   NOK1V.HE   2.84
2011-02-12   TLSN.ST   2.88
2011-02-12   AZN.ST   2.90
2011-02-12   VWS.CO   2.92
2011-02-12   SEBA.ST   2.96
2011-02-12   NDA.ST   2.97
2011-02-12   SECUB.ST   3.00
2011-02-12   WRT1V.HE   3.00
2011-02-12   HMB.ST   3.10
2011-02-12   BOL.ST   3.28
2011-02-12   SSABA.ST   3.41
